maschine,charge,masse_mm
M1,101,10
M1,101,10.02
M1,101,9.92
M1,101,10.03
M2,101,9.96
M2,101,9.92
M2,101,9.94
M2,101,9.97
M3,101,10.03
M3,101,10.05
M3,101,10.04
M3,101,10.1
M1,102,9.99
M1,102,9.99
M1,102,10
M1,102,10
M2,102,10.02
M2,102,9.89
M2,102,10.03
M2,102,9.93
M3,102,10.07
M3,102,10.11
M3,102,9.99
M3,102,9.96
M1,103,9.97
M1,103,10
M1,103,
M1,103,9.99
M2,103,9.99
M2,103,9.98
M2,103,9.98
M2,103,9.95
M3,103,10.16
M3,103,10.11
M3,103,10.08
M3,103,10.12
M1,104,9.97
M1,104,
M1,104,9.99
M1,104,9.98
M2,104,9.98
M2,104,9.96
M2,104,9.98
M2,104,9.99
M3,104,10.05
M3,104,10.07
M3,104,10.03
M3,104,9.88
M1,105,
M1,105,9.97
M1,105,9.94
M1,105,10.06
M2,105,
M2,105,9.94
M2,105,9.93
M2,105,9.91
M3,105,10.09
M3,105,10.06
M3,105,9.99
M3,105,9.97
M1,106,10
M1,106,9.99
M1,106,9.98
M1,106,10.03
M2,106,10
M2,106,10.02
M2,106,9.99
M2,106,10.06
M3,106,10.02
M3,106,10.15
M3,106,10.11
M3,106,10.16
M1,107,9.99
M1,107,10.05
M1,107,10.06
M1,107,9.97
M2,107,10.06
M2,107,9.99
M2,107,10.03
M2,107,9.93
M3,107,9.95
M3,107,10.2
M3,107,10.1
M3,107,10
M1,108,9.98
M1,108,10.05
M1,108,9.98
M1,108,10.02
M2,108,10
M2,108,9.96
M2,108,9.93
M2,108,10
M3,108,9.99
M3,108,10.02
M3,108,10.06
M3,108,10.15
M1,109,9.99
M1,109,10.02
M1,109,10.03
M1,109,10
M2,109,9.95
M2,109,9.95
M2,109,9.95
M2,109,10.02
M3,109,10.04
M3,109,10.11
M3,109,10.14
M3,109,10.05
M1,110,10.03
M1,110,10
M1,110,10.05
M1,110,9.98
M2,110,10.01
M2,110,9.99
M2,110,10
M2,110,10.01
M3,110,9.98
M3,110,10.05
M3,110,10.18
M3,110,10.09
